"URL","Name","Roaster","Rating","Roaster Location","Coffee Origin","Roast Level","Agtron","Est. Price","Review Date","Aroma","Acidity/Structure","Body","Flavor","Aftertaste","With Milk","Acidity"
"https://www.coffeereview.com/review/granate/","Granate","Finca Tasta","94","Satipo Province, Peru","Llayla District, Satipo Province, Peru","Medium-Light","57/79","$13.50/250 grams","February 2025","9","9","9","9","8",NA,NA
"https://www.coffeereview.com/review/kenya-kirinyaga-4/","Kenya Kirinyaga","Red Rooster Coffee Roaster","95","Floyd, Virginia","Kirinyaga District, south-central Kenya","Light","60/82","$25.00/12 ounces","February 2025","9","9","9","9","9",NA,NA
"https://www.coffeereview.com/review/costa-rica-san-diego/","Costa Rica San Diego","Utopian Coffee","94","Fort Wayne, Indiana","Tarrazu, Costa Rica","Medium-Light","57/77","$22.00/12 ounces","February 2025","9","8","9","9","9",NA,NA
"https://www.coffeereview.com/review/costa-rica-la-candelilla-geisha/","Costa Rica La Candelilla Geisha","Red Rooster Coffee Roaster","94","Floyd, Virginia","Tarrazu, Costa Rica","Light","62/84","$35.00/12 ounces","February 2025","9","9","9","9","8",NA,NA
"https://www.coffeereview.com/review/colombia-arbey-narvaez/","Colombia Arbey Narvaez","Victrola Coffee Roasters","93","Seattle, Washington","Nariño Department, Colombia","Medium-Light","59/81","$21.00/12 ounces","February 2025","9","8","9","9","8",NA,NA
"https://www.coffeereview.com/review/guatemala-santa-ana-dilla-alghe-washed/","Guatemala Santa Ana Dilla Alghe Washed","PT's Coffee Roasting Co.","93","Topeka, Kansas","Santa Rosa Department, Guatemala","Medium-Light","58/77","$30.00/12 ounces","February 2025","9","8","9","9","8",NA,NA
"https://www.coffeereview.com/review/ethiopia-agaro-duromina-2/","Ethiopia Agaro Duromina","Jaunt Coffee Roasters","94","San Diego, California","Agaro Duromina, Jimma Zone, Oromia State, Ethiopia","Medium-Light","59/79","$22.00/12 ounces","February 2025","9","9","9","9","8",NA,NA
"https://www.coffeereview.com/review/panama-renaissance-series-flora-geisha-washed/","Panama Renaissance Series Flora Geisha Washed","Coffeebox Coffee","94","Taipei, Taiwan","Boquete growing region, western Panama","Light","68/94","NT $800/227 grams","February 2025","9","9","8","9","9",NA,NA
"https://www.coffeereview.com/review/costa-rica-tarrazu-5/","Costa Rica Tarrazu","Jaunt Coffee Roasters","93","San Diego, California","Tarrazu, Costa Rica","Medium-Light","58/80","$22.00/12 ounces","February 2025","9","8","9","9","8",NA,NA
"https://www.coffeereview.com/review/kenya-embu-gicherori-pb-washed/","Kenya Embu Gicherori PB Washed","Coffeebox Coffee","93","Taipei, Taiwan","Embu Country, Kenya","Light","72/94","NT $390/227 grams","February 2025","9","9","8","9","8",NA,NA
